Filename,DAPI,meanDapi,FOS,meanFOS,ratio
_1CA_PL_1-3L_,2555,2802,43,80.8,2.883654532
_1CA_PL_1-4R_,2654,,50,,
_1CA_PL_1-5L_,2586,,217,,
_1CA_PL_1-6R_,2928,,46,,
_1CA_PL_1-7R_,3287,,48,,
_1CB_PL_1-3R_,2205,,12,,
_1CB_PL1-3L_,2286,2226.75,5,13,0.583810486
_1CB_PL1-4L_,2315,,6,,
_1CB_PL1-4R_,2101,,29,,
_1CC_PL_1-2R_,2482,2571,58,30,1.166861144
_1CC_PL_1-3L_,2664,,7,,
_1CC_PL_1-3R_,2434,,7,,
_1CC_PL_1-4L_,2704,,48,,
_1CD_PL_1-6_L,2685,2805.5,263,258,9.196221707
_1CD_PL_1-6_R,2926,,253,,
_1CE_PL_2-1L_,2195,2225.25,49,48.25,2.168295697
_1CE_PL_2-1R_,2033,,38,,
_1CE_PL_2-4L_,2330,,58,,
_1CE_PL_2-4R_,2343,,48,,
_1CF_PL_1-4L_,2141,,72,,
_1CF_PL_1-5L_,2567,,68,,
_1CF_PL_1-5R_,2264,,121,,
_1CF_PL1-4R_,2565,2384.25,73,83.5,3.502149523
_1CH_PL_1-3L_,2839,2869.75,108,105.5,3.676278421
_1CH_PL_1-3R_,2790,,225,,
_1CH_PL_1-5L_,2893,,42,,
_1CH_PL_1-5R_,2957,,47,,
_1CI_PL_1-3L_,2138,2311.25,52,152.5,6.598161168
_1CI_PL_1-3R_,2218,,84,,
_1CI_PL_1-4L_,2385,,183,,
_1CI_PL_1-4R_,2504,,291,,
_2CA_PL_1-3L_,821,1302,35,21.5,1.651305684
_2CA_PL_1-3R_,1645,,16,,
_2CA_PL_1-6L_,1561,,22,,
_2CA_PL_1-6R_,1181,,13,,
_2CB_PL_2_1L_,3533,3054,129,146.75,4.805173543
_2CB_PL_2_1R_,2763,,155,,
_2CB_PL_2_4L_,2917,,150,,
_2CB_PL_2_4R_,3003,,153,,
_2CC_PL_1-4L_,2001,,92,,
_2CC_PL_1-4R_,2342,,61,,
_2CC_PL_1-5R_,2436,,80,,
_2CC_PL1-5L_,2821,2400,95,82,3.416666667
_2CD_PL_1-2L_,2404,2409,5,9.25,0.383976754
_2CD_PL_1-2R_,2235,,17,,
_2CD_PL_1-3L_,2274,,11,,
_2CD_PL_1-4R_,2723,,4,,
_2CE_A1_R1_S5_PL_LEFT_2p68_,2103,2594.142857,28,21,0.809515943
_2CE_A1_R2_S1_PL_LEFT_2p55_,2097,,11,,
_2CE_A1_R2_S2_PL_RIGHT_2p34_,2613,,15,,
_2CE_A1_R2_S3_PL_LEFT_2p22_,2934,,35,,
_2CE_A1_R2_S3_PL_RIGHT_2p22_,2518,,20,,
_2CE_A1_R2_S4_PL_LEFT_2p10ish_,2778,,18,,
_2CE_A1_R2_S5_PL_LEFT_1p95_,3116,,20,,
_2CG_PL_1-4L_,2525,2600.5,157,144.25,5.54701019
_2CG_PL_1-4R_,2587,,165,,
_2CG_PL_1-5L_,2548,,93,,
_2CG_PL_1-5R_,2742,,162,,
_2CH_PL_1-2L_,2296,2620,100,203.75,7.776717557
_2CH_PL_1-2R_,2588,,230,,
_2CH_PL_1-3L_,2748,,195,,
_2CH_PL_1-3R_,2848,,290,,
_2CJ_PL_1-5-L_,1661,910.25,56,59.75,6.564130733
_2CJ_PL_1-5-R_,1607,,67,,
_2CJ_PL_1-7-L_,174,,61,,
_2CJ_PL_1-7-R_,199,,55,,
_3CA_PL_1-5R_,2353,2384.75,8,23.5,0.985428242
_3CA_PL_1-6L_,2384,,33,,
_3CA_PL_1-6R_,2654,,16,,
_3CA_PL_1-7L_,2148,,37,,
